ProjectCode,ProjectName,ProjectType,Status,TotalRiskScore,RiskLevel,FinancialRisk,EfficiencyRisk,ComplexityRisk,TimelineRisk,IsHighRisk,IsAnomaly
GS230045-BJ07,GS230045-BJ07   华樾中心B座-BJ-朝阳区创远路28号院1号楼项目,GS,Success,45.33490566037736,Medium,53.72641509433962,41.32075471698113,29.433962264150942,20,False,True
GS240013-SH01,上海联江芯半导体有限公司盛夏路399弄亚芯科技园2号楼7楼局部装修施工,GS,Success,17.77122641509434,Very Low,7.830188679245284,30.896226415094336,23.490566037735846,20,False,False
GS240001-BJ01,2024年金尚源改造,GS,Success,48.03066037735849,Medium,69.81132075471697,57.971698113207545,25.471698113207548,50,False,False
GS240034-BJ10,炮局二条一号院·会所设计项目,GS,Success,19.757075471698116,Very Low,17.31132075471698,27.68867924528302,23.20754716981132,20,False,False
GS240035-BJ11,世贸国际公寓设计施工项目,GS,Success,21.641509433962263,Low,20.495283018867923,31.179245283018865,23.490566037735846,20,False,False
GS240043-HZ01,乐华娱乐-HZ-杭州星澜里4号楼10F项目,GS,Success,27.525943396226413,Low,32.78301886792453,35.89622641509434,28.584905660377355,20,False,False
GS240063-BJ29,博彦科技平安金融中心接待室改造项目,GS,Success,33.06367924528302,Low,49.43396226415094,36.93396226415095,30.0,20,False,False
GS230079-BJ11,  方正国际大厦-施工项目,GS,Negotiation,14.745283018867925,Very Low,8.915094339622641,22.92452830188679,16.69811320754717,20,False,False
GS240071-GD05,冠宇达顺德厂房、创研楼施工项目（D栋）,GS,Negotiation,37.29716981132076,Low,30.849056603773583,37.07547169811321,28.867924528301888,20,False,True
GS240010-BJ01,香港大学办公室-设计施工项目,GS,Negotiation,17.930424528301888,Very Low,19.693396226415096,33.089622641509436,0.0,25,False,False
GS240032-BJ09,俄罗斯天然气北京办公室改造项目,GS,In Progress,21.69811320754717,Low,17.12264150943396,30.471698113207548,29.716981132075468,20,False,False
GS240033-CD02, 鼎桥成都-CD-天府产业园C3楼1F北侧餐厅项目,GS,Fail,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240037-HB02, 邢台面粉厂片区改造一期-地库设计项目,GS,Negotiation,17.632075471698116,Very Low,8.632075471698114,29.150943396226417,23.77358490566038,20,False,False
GS240044-BJ14, 巴基斯坦大使馆-BJ-朝阳区巴基斯坦大使馆会议室改造项目,GS,Success,24.372641509433965,Low,30.754716981132077,38.39622641509434,27.735849056603776,0,False,False
GS240050-GD04,2024 BMBS广州办公室装修改造项目,GS,Negotiation,18.496462264150942,Very Low,21.580188679245282,33.089622641509436,0.0,25,False,False
GS240051-BJ18,中国人寿B1层餐厅改造项目,GS,In Progress,12.319575471698112,Very Low,10.330188679245282,18.089622641509436,23.490566037735846,0,False,False
GS240052-SD02,"青岛歌尔虚拟现实产业园1,4#厂房精装修工程",GS,Negotiation,37.288915094339615,Low,84.22169811320754,33.089622641509436,0.0,25,False,False
GS240056-BJ22,恐龙乐园-BJ-恐龙主题乐园项目,GS,In Progress,20.712264150943398,Low,16.9811320754717,27.830188679245285,28.30188679245283,20,False,False
GS240057-BJ23,北京大学兰园书院设计项目,GS,In Progress,13.150943396226417,Very Low,2.311320754716981,24.245283018867926,16.9811320754717,20,False,False
GS240062-BJ28,博彦科技中关村软件园二层会议区改造项目,GS,In Progress,23.683962264150942,Low,25.141509433962263,34.905660377358494,22.07547169811321,20,False,False
GS240066-BJ32, 中信金属办公室改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240066-BJ32, 中信金属办公室改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240066-BJ32, 中信金属办公室改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240066-BJ32, 中信金属办公室改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240066-BJ32, 中信金属办公室改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,True
GS240066-BJ32, 中信金属办公室改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,True
GS240066-BJ32, 中信金属办公室改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240066-BJ32, 中信金属办公室改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240019-BJ03,宝马品牌学院-BJ-设计施工项目,GS,In Progress,58.08726415094339,Medium,95.14150943396227,67.12264150943396,26.320754716981128,50,False,False
GS240048-BJ17, 金尚城溪105单元牛街祥云轩装修工程,GS,In Progress,16.93985849056604,Very Low,16.391509433962266,33.089622641509436,0.0,25,False,False
GS240036-BJ12,正午阳光办公室设计施工项目,GS,Negotiation,57.28066037735849,Medium,68.72641509433963,69.85849056603773,23.490566037735846,30,False,False
GS240064-BJ30,北京大学燕京学堂设计项目,GS,In Progress,50.59198113207547,Medium,61.32075471698113,46.27358490566038,26.886792452830186,35,False,False
GS240058-BJ24,东来顺小楼-BJ-新东路东来顺集团小楼项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240059-BJ25,东来顺-BJ-新源里东来顺办公楼会客餐厅改造项目,GS,In Progress,31.599056603773587,Low,39.056603773584904,34.81132075471698,18.39622641509434,50,False,False
GS240060-BJ26,康美电业-泰禾文化大厦办公室改造项目,GS,In Progress,28.148584905660375,Low,39.90566037735849,36.179245283018865,20.660377358490564,20,False,False
GS240065-BJ31,东来顺办公楼会客餐厅改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240066-BJ32,中信金属办公室改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240066-BJ32,中信金属办公室改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240066-BJ32,中信金属办公室改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,True
GS240066-BJ32,中信金属办公室改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240066-BJ32,中信金属办公室改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240066-BJ32,中信金属办公室改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240066-BJ32,中信金属办公室改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240066-BJ32,中信金属办公室改造项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240067-BJ33,中信集团-BJ-18层办公室设计项目,GS,In Progress,25.330188679245285,Low,37.78301886792453,33.113207547169814,13.584905660377359,20,False,False
GS240069-BJ34,北京远洋源山春秋别墅设计施工项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240070-BJ35, 美容会所设计项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240072-BJ36, 西安工商学院工程楼设计项目,GS,In Progress,24.653301886792452,Low,32.97169811320755,28.254716981132074,23.490566037735846,20,False,False
GS240073-GD06,华南农业大学珠江学院从化校区1A1B宿舍装修设计项目,GS,In Progress,35.91509433962264,Low,58.018867924528294,41.88679245283019,25.188679245283016,20,False,True
GS240074-BJ37,北京利生体育用品商厦大楼改造项目,GS,In Progress,21.891509433962263,Low,29.150943396226413,21.792452830188676,23.490566037735846,20,False,True
GS240075-BJ38, 新中国儿童商店改造项目,GS,In Progress,36.95518867924528,Low,32.40566037735849,20.141509433962266,23.490566037735846,50,False,False
GS240076-BJ39,伊藤忠华糖-BJ-正大中心办公室设计施工项目,GS,In Progress,25.299528301886795,Low,42.735849056603776,36.556603773584904,16.69811320754717,0,False,True
GS240077-BJ40,北投集团大堂升级改造设计项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240078-NX02,银川大学二期（图书馆中段、办公室、教学楼前厅）设计项目,GS,In Progress,25.968160377358494,Low,46.485849056603776,33.089622641509436,0.0,25,False,False
GS240079-BJ41,恋日国际-B1办公室设计项目,GS,In Progress,21.436320754716984,Low,35.943396226415096,23.820754716981135,23.490566037735846,0,False,False
GS240080-BJ42,北方投资北方创业出租汽车多功能休息室设计项目,GS,In Progress,24.766509433962263,Low,36.50943396226415,33.06603773584905,12.735849056603774,20,False,False
GS240081-JS01,南京航空航天大学金城学院活动中心设计项目,GS,In Progress,25.08490566037736,Low,36.22641509433962,33.77358490566038,13.867924528301888,20,False,False
GS240082-BJ43,京东-BJ-酒综合展厅设计项目,GS,In Progress,21.919811320754715,Low,35.23584905660377,26.60377358490566,23.490566037735846,0,False,False
GS240083-BJ45,横琴大厦办公室改造项目,GS,In Progress,21.30424528301887,Low,29.245283018867923,36.08490566037736,17.547169811320757,0,False,False
GS240084-BJ46,中航技广场商业一期改造设计项目,GS,In Progress,19.983490566037734,Very Low,34.52830188679245,28.537735849056602,12.452830188679243,0,False,False
GS240045-BJ15,阿里-华谊兄弟办公室餐饮、办公、会所设计项目,GS,In Progress,51.12264150943396,Medium,53.113207547169814,61.41509433962264,22.92452830188679,35,False,False
GS240047-BJ16,金尚意思特设计施工项目,GS,In Progress,28.97759433962264,Low,23.183962264150942,33.089622641509436,0.0,25,False,False
GS240054-BJ20,大家书房-BJ-首开书院大家书房标准设计项目,GS,In Progress,31.391509433962263,Low,40.75471698113207,39.81132075471698,19.811320754716984,35,False,False
GS240093-BJ50,巴基斯坦使馆学校（北京）设计施工项目,GS,In Progress,26.597877358490564,Low,32.68867924528301,8.372641509433963,23.490566037735846,0,False,False
CANAAN24001-BJ01,北京市海淀区北清路81号院一区1号楼20层AI实验室强电线路改造,GS,In Progress,19.119103773584907,Very Low,23.655660377358494,33.089622641509436,0.0,25,False,False
CANAAN24002-BJ07,北京市海淀区北清路81号院一区A1号楼21层下水管道更换,GS,In Progress,18.02948113207547,Very Low,20.02358490566038,33.089622641509436,0.0,25,False,False
CANAAN24003-BJ08,北京市海淀区北清路81号院一区A1号楼20层强电改造,GS,In Progress,36.70872641509433,Low,82.28773584905659,33.089622641509436,0.0,25,False,False
CANAAN24004-BJ08,北京市海淀区北清路81号院一区A1号楼21层下水管道增加伴热带,GS,In Progress,19.61438679245283,Very Low,25.306603773584904,33.089622641509436,0.0,25,False,False
CANAAN24005-BJ08,北京市海淀区北清路 81号院一区A1号楼20层实验室配电箱更换电缆,GS,In Progress,18.298349056603776,Very Low,20.919811320754718,33.089622641509436,0.0,25,False,False
GS240095-BJ51,航柒书院精装修施工项目,GS,In Progress,21.691037735849054,Low,41.179245283018865,26.933962264150942,13.018867924528303,0,False,False
GS210075-SH07,中信资本-SH-太古汇F40层办公室设计施工项目维保协议,GS,In Progress,17.297169811320753,Very Low,22.264150943396224,23.67924528301887,23.490566037735846,0,False,False
GS20044-BJ04,北京中信办公室维保协议,GS,In Progress,23.12382075471698,Low,37.00471698113208,33.089622641509436,0.0,25,False,False
GS240028-BJ07,海淀文化艺术大厦设计项目,GS,In Progress,29.169811320754718,Low,27.971698113207545,36.132075471698116,21.22641509433962,50,False,False
GS240030-YN02,七彩云南餐厅局部改造工程,GS,In Progress,19.317216981132077,Very Low,24.316037735849058,33.089622641509436,0.0,25,False,False
GS240085-BJ47,硕达国际货运办公室改造设计施工项目,GS,In Progress,22.61556603773585,Low,35.47169811320755,37.02830188679245,13.584905660377355,0,False,False
GS240092-BJ49,学大教育-BJ-金尚城溪2F设计施工项目,GS,In Progress,12.89622641509434,Very Low,12.264150943396228,19.433962264150942,21.79245283018868,0,False,False
ISS24001-CS01,长沙高新区麓谷信息港B栋14层黄区改开放区项目,ISS,Unknown,20.704009433962263,Low,28.93867924528302,33.089622641509436,0.0,25,False,False
ISS24002-HF01,合肥包河区金融港A7栋2层MAG阿里业务新建场地,ISS,Unknown,36.21344339622641,Low,80.63679245283018,33.089622641509436,0.0,25,False,False
ISS24003-HZ01,杭州余杭区鼎创财富中心7-8层综合场地优化改造项目,ISS,Unknown,36.411556603773576,Low,81.29716981132074,33.089622641509436,0.0,25,False,True
ISS24004-CD01,成都郫都区万科菁蓉都会战略交付基地一期8层新建项目,ISS,Unknown,42.502358490566046,Medium,66.4622641509434,65.80188679245283,15.566037735849056,20,False,False
ISS24015-CD01,成都高新紫光芯云B座3层MAG新浪场地改造项目,ISS,Unknown,20.80306603773585,Low,29.2688679245283,33.089622641509436,0.0,25,False,False
ISS24018-XA01,西安高新区环普产业园A2幢7层MAG华为消费者终端交付件改互联网ODC场地项目,ISS,Unknown,36.11438679245283,Low,80.3066037735849,33.089622641509436,0.0,25,False,False
ISS24019-NJ01,南京雨花区怡化中心B栋4层MAG华为TC黄区扩租新建项目,ISS,Unknown,20.01061320754717,Low,26.62735849056604,33.089622641509436,0.0,25,False,False
ISS24020-NJ01,南京建邺康缘智慧港C栋18楼TTR小米ODC场地另一侧空调外机维修改造项目,ISS,Unknown,35.52004716981132,Low,78.3254716981132,33.089622641509436,0.0,25,False,False
ISS24022-CD01,成都高新茂业茂业中心A座2504-2505MAG场地退租项目,ISS,Unknown,35.7747641509434,Low,79.1745283018868,33.089622641509436,0.0,25,False,False
ISS24023-SZ01,深圳罗湖区中设广场A栋2层3层战略场地退租项目,ISS,Unknown,36.3125,Low,80.96698113207546,33.089622641509436,0.0,25,False,False
ISS24024-WX01,无锡滨湖旭天软件园A2楼3层D0S字节热线业务场地改腾讯审核业务场地项目,ISS,Unknown,19.713443396226417,Very Low,25.63679245283019,33.089622641509436,0.0,25,False,False
ISS24025-XA02,西安高新环普腾飞科汇城11层MAG华为BPIT绿区ODC过渡场地新建项目,ISS,Unknown,34.16155660377359,Low,73.79716981132076,33.089622641509436,0.0,25,False,False
ISS24026-WH02,武汉东湖高新区光谷信息城软件新城2期C15栋7层场地退租项目,ISS,Unknown,31.77004716981132,Low,65.8254716981132,33.089622641509436,0.0,25,False,False
ISS24027-SZ02,深圳龙岗金荣达5栋5层MAG华为开放区改消费者云蓝区ODC场地项目,ISS,Unknown,32.81721698113208,Low,69.31603773584906,33.089622641509436,0.0,25,False,True
ISS24028-JN02,济南历下区平安金融中心9层MAG华为业务专属场地新建项目,ISS,Unknown,32.405660377358494,Low,18.39622641509434,19.433962264150942,22.641509433962266,50,False,False
ISS24029-JN02,济南历下区平安金融中心8层综合场地新建项目,ISS,Unknown,38.375,Low,59.85849056603774,56.08490566037736,16.981132075471702,20,False,False
ISS24030-CD02,成都武侯区西部智谷4层DOS场地改造项目,ISS,Unknown,33.25589622641509,Low,70.77830188679245,33.089622641509436,0.0,25,False,False
ISS24031-XA03,西安高新区环普产业园A2幢13层MAG华为BPIT绿区ODC场地新建项目,ISS,Unknown,13.984669811320753,Very Low,23.349056603773583,9.127358490566039,23.490566037735846,0,False,False
ISS24032-XA03,西安高新区环普产业园E幢3-5层MAG华为综合ODC场地工位扩建改造项目,ISS,Unknown,32.20872641509434,Low,67.2877358490566,33.089622641509436,0.0,25,False,False
ISS24033-SZ03,深圳福田新浩E都6层局部MAG超聚变ODC黄区场地退租项目,ISS,Unknown,20.307783018867923,Low,27.617924528301884,33.089622641509436,0.0,25,False,True
ISS24035-WH03,武汉东湖高新区未来科技城C2栋10层MAG场地新建项目,ISS,Unknown,14.908018867924527,Very Low,17.735849056603772,27.028301886792452,14.150943396226415,0,False,False
ISS24036-CD03,成都武侯区西部智谷4层TTR场地改造项目,ISS,Unknown,36.510613207547166,Low,81.62735849056604,33.089622641509436,0.0,25,False,False
ISS24037-WH03,武汉东湖高新区当代梦工厂5栋10层TTR场地改造项目,ISS,Unknown,32.871462264150935,Low,55.33018867924528,46.29716981132075,23.490566037735846,0,False,False
ISS24038-CD03,成都高新软件园C区2栋3层TTR场地退租项目,ISS,Unknown,21.100235849056602,Low,30.259433962264154,33.089622641509436,0.0,25,False,False
ISS24039-SZ03,苏州工业园综合保税区7号厂房ICP智能电子事业本部新建厂房项目,ISS,Unknown,17.8313679245283,Very Low,19.363207547169814,33.089622641509436,0.0,25,False,False
ISS24040-XA03,西安长安区沣东学研广场B座4层南侧及5层综合场地退租项目,ISS,Unknown,47.402122641509436,Medium,84.59905660377358,33.089622641509436,0.0,25,False,False
ISS24041-XA03,西安长安区沣东学研广场B座5层综合场地退租关联A座4层改造项目,ISS,Unknown,7.6875,Very Low,2.830188679245283,8.561320754716983,23.490566037735846,0,False,False
ISS24042-SZ03,深圳罗湖中设广场A栋22层综合场地局部改ICP计算产品事业本部研发区项目,ISS,Unknown,17.33608490566038,Very Low,17.712264150943398,33.089622641509436,0.0,25,False,False
ISS24043-CD03,成都高新茂业茂业中心C座1023室DOS场地新建项目,ISS,Unknown,36.8502358490566,Low,82.75943396226414,33.089622641509436,0.0,25,False,False
ISS24044-CD03,成都武侯区先进科技研发大楼B座8层DOS客如云及字节机房改造项目,ISS,Unknown,16.840801886792452,Very Low,16.06132075471698,33.089622641509436,0.0,25,False,False
ISS24045-BJ03,北京海淀软通总部大楼5层503会议室改造项目,ISS,Unknown,37.04834905660377,Low,83.41981132075472,33.089622641509436,0.0,25,False,False
ISS24046-SZ03,深圳龙岗金荣达6栋1层MAG华为专属场地前台综合升级改造项目,ISS,Unknown,50.11202830188679,Medium,78.20754716981132,47.806603773584904,23.490566037735846,0,False,False
ISS24047-BJ03,北京海淀区数字山谷4层ICP计算产品事业本部场地新建项目,ISS,Unknown,17.03891509433962,Very Low,16.721698113207548,33.089622641509436,0.0,25,False,False
ISS24048-BJ03,北京海淀软通总部大楼1层ICP实验室改造项目,ISS,Unknown,6.363207547169811,Very Low,4.622641509433962,19.90566037735849,0.0,0,False,False
ISS24049-NJ04,南京江宁天域互联D1栋6层MAG华为PC黄区会议室改造项目,ISS,Unknown,17.237028301886795,Very Low,17.382075471698116,33.089622641509436,0.0,25,False,False
ISS24050-BJ04,北京海淀软通总部大楼5层高管秘书办公区改造项目,ISS,Unknown,37.345518867924525,Low,84.41037735849056,33.089622641509436,0.0,25,False,False
ISS24051-XA04,西安长安区沣东学研广场A座9层鸿湖万联业务场地监控改造项目,ISS,Unknown,36.60966981132075,Low,81.9575471698113,33.089622641509436,0.0,25,False,False
ISS24052-CQ04,重庆两江新区互联网产业园2期6号楼5层8层TTR及DOS场地退租项目,ISS,Unknown,9.04127358490566,Very Low,6.084905660377358,10.070754716981133,23.490566037735846,0,False,False
ISS24053-BJ04,北京海淀数字山谷室外LOGO升级改造项目,ISS,Unknown,35.91627358490565,Low,79.64622641509433,33.089622641509436,0.0,25,False,False
